Opening strategy,Broker Policy, Algorithm,Graph type, Workload level, Number of user, Real number of user,Total users served(cloudlets),Total users served(Remote cloud), number of cloudlet, number of cloudlet opened,Names of opened cloudlet, total utilz, Total workload, total energy, total latency, avg client/cloudlet, avg latency, avg response time,avg RTT, avg utilization/cloudlet, avg energy/cloudlet
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100.0,94.0,94.0,0.0,9.0,9.0,1#3#2#5#4#7#6#9#8,7.0,6693.0,808.2,9.97,10.42,9.97,11.93,21.9,6.96,89.8
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100.0,105.0,105.0,0.0,9.0,9.0,1#3#2#5#4#7#6#9#8,8.4,8082.8,816.72,10.2,11.62,10.2,12.2,22.4,8.47,90.75
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,MEDIUM,100.0,93.0,93.0,0.0,9.0,9.0,1#3#2#5#4#7#6#9#8,25.4,23234.2,867.24,10.2,10.27,10.2,12.2,22.4,25.31,96.36
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,MEDIUM,100.0,109.0,109.0,0.0,9.0,9.0,1#3#2#5#4#7#6#9#8,29.8,27303.8,876.86,10.2,12.02,10.2,12.2,22.4,29.87,97.43
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,HIGH,100.0,104.0,104.0,0.0,9.0,9.0,1#3#2#5#4#7#6#9#8,47.8,43484.0,926.44,9.98,11.47,9.98,11.93,21.91,47.78,102.94
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,HIGH,100.0,97.0,97.0,0.0,9.0,9.0,1#3#2#5#4#7#6#9#8,45.4,41140.8,921.56,9.97,10.75,9.97,11.93,21.9,45.25,102.4
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100.0,97.0,97.0,0.0,9.0,9.0,1#3#2#5#4#7#6#9#8,8.2,7632.2,812.92,10.2,10.78,10.2,12.2,22.4,7.93,90.32
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100.0,92.0,92.0,0.0,9.0,9.0,1#3#2#5#4#7#6#9#8,6.8,6720.4,809.56,9.97,10.13,9.97,11.93,21.9,6.98,89.95
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,MEDIUM,100.0,86.0,86.0,0.0,9.0,9.0,1#3#2#5#4#7#6#9#8,23.2,21410.6,859.16,9.97,9.55,9.97,11.93,21.9,23.31,95.46
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,MEDIUM,100.0,94.0,94.0,0.0,9.0,9.0,1#3#2#5#4#7#6#9#8,25.4,23159.8,863.28,10.2,10.42,10.2,12.2,22.4,25.22,95.92
