Opening strategy,Broker Policy, Algorithm,Graph type, Workload level, Number of user, Real number of user,Total users served(cloudlets),Total users served(Remote cloud), number of cloudlet, number of cloudlet opened,Names of opened cloudlet, total utilz, Total workload, total energy, total latency, avg client/cloudlet, avg latency, avg response time,avg RTT, avg utilization/cloudlet, avg energy/cloudlet
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100,116,116,0,9,9,1#2#3#4#5#6#7#8#9,10,9233,817.0,9.07,12.89,9.07,10.84,19.91,9.89,90.78
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100,97,97,0,9,9,1#2#3#4#5#6#7#8#9,7,6419,807.4,10.2,10.78,10.2,12.2,22.4,6.56,89.71
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100,80,80,0,9,9,1#2#3#4#5#6#7#8#9,6,5646,807.8,10.2,8.89,10.2,12.2,22.4,5.89,89.76
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100,86,86,0,9,9,1#2#3#4#5#6#7#8#9,6,5964,804.4,10.2,9.56,10.2,12.2,22.4,6.11,89.38
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100,90,90,0,9,9,1#2#3#4#5#6#7#8#9,6,6203,804.4,10.2,10.0,10.2,12.2,22.4,6.33,89.38
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100,107,107,0,9,9,1#2#3#4#5#6#7#8#9,8,7484,814.2,10.2,11.89,10.2,12.2,22.4,7.78,90.47
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100,110,110,0,9,9,1#2#3#4#5#6#7#8#9,9,8541,820.6,10.2,12.22,10.2,12.2,22.4,8.89,91.18
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100,87,87,0,9,9,1#2#3#4#5#6#7#8#9,7,7116,814.2,10.2,9.67,10.2,12.2,22.4,7.33,90.47
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100,113,113,0,9,9,1#2#3#4#5#6#7#8#9,9,8703,817.4,10.2,12.56,10.2,12.2,22.4,9.22,90.82
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100,106,106,0,9,9,1#2#3#4#5#6#7#8#9,9,8570,817.2,10.2,11.78,10.2,12.2,22.4,9.11,90.8
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,MEDIUM,100,89,89,0,9,9,1#2#3#4#5#6#7#8#9,25,23016,866.8,10.2,9.89,10.2,12.2,22.4,25.11,96.31
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,MEDIUM,100,95,95,0,9,9,1#2#3#4#5#6#7#8#9,25,22806,866.9,10.2,10.56,10.2,12.2,22.4,24.78,96.32
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,MEDIUM,100,108,108,0,9,9,1#2#3#4#5#6#7#8#9,30,27667,878.1,10.2,12.0,10.2,12.2,22.4,30.22,97.57
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,MEDIUM,100,80,80,0,9,9,1#2#3#4#5#6#7#8#9,23,20947,864.3,10.2,8.89,10.2,12.2,22.4,22.78,96.03
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,MEDIUM,100,90,90,0,9,9,1#2#3#4#5#6#7#8#9,24,21735,860.1,10.2,10.0,10.2,12.2,22.4,23.67,95.57
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,MEDIUM,100,100,100,0,9,9,1#2#3#4#5#6#7#8#9,27,24362,863.6,10.2,11.11,10.2,12.2,22.4,26.67,95.96
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,MEDIUM,100,102,102,0,9,9,1#2#3#4#5#6#7#8#9,28,25975,875.0,10.2,11.33,10.2,12.2,22.4,28.33,97.22
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,MEDIUM,100,115,115,0,9,9,1#2#3#4#5#6#7#8#9,32,29530,882.2,10.2,12.78,10.2,12.2,22.4,32.33,98.02
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,MEDIUM,100,94,94,0,9,9,1#2#3#4#5#6#7#8#9,26,23870,866.9,10.2,10.44,10.2,12.2,22.4,26.0,96.32
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,MEDIUM,100,130,130,0,9,9,1#2#3#4#5#6#7#8#9,36,32782,896.6,10.2,14.44,10.2,12.2,22.4,36.0,99.62
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,HIGH,100,108,108,0,9,9,1#2#3#4#5#6#7#8#9,51,46067,930.4,10.2,12.0,10.2,12.2,22.4,50.67,103.38
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,HIGH,100,88,88,0,9,9,1#2#3#4#5#6#7#8#9,41,36949,904,9.07,9.78,9.07,10.84,19.91,40.56,100.44
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,HIGH,100,84,84,0,9,9,1#2#3#4#5#6#7#8#9,38,34854,904.6,10.21,9.33,10.21,12.21,22.42,38.22,100.51
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,HIGH,100,115,115,0,9,9,1#2#3#4#5#6#7#8#9,53,48312,943.2,10.2,12.78,10.2,12.2,22.4,53.11,104.8
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,HIGH,100,121,121,0,9,9,1#2#3#4#5#6#7#8#9,56,51238,950,10.2,13.44,10.2,12.2,22.4,56.33,105.56
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,HIGH,100,112,112,0,9,9,1#2#3#4#5#6#7#8#9,53,47724,937.5,10.2,12.44,10.2,12.2,22.4,52.56,104.17
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,HIGH,100,97,97,0,9,9,1#2#3#4#5#6#7#8#9,45,40769,920.9,9.07,10.78,9.07,10.84,19.91,44.78,102.32
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,HIGH,100,94,94,0,9,9,1#2#3#4#5#6#7#8#9,45,40525,921.5,10.2,10.44,10.2,12.2,22.4,44.56,102.39
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,HIGH,100,106,106,0,9,9,1#2#3#4#5#6#7#8#9,49,44650,935.0,10.2,11.78,10.2,12.2,22.4,49.22,103.89
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,HIGH,100,75,75,0,9,9,1#2#3#4#5#6#7#8#9,35,32036,892.9,10.2,8.33,10.2,12.2,22.4,35.11,99.21
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100,100,100,0,9,9,1#2#3#4#5#6#7#8#9,8,7773,807.8,10.2,11.11,10.2,12.2,22.4,8.11,89.76
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100,114,114,0,9,9,1#2#3#4#5#6#7#8#9,10,9235,817.4,10.2,12.67,10.2,12.2,22.4,9.78,90.82
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100,75,75,0,9,9,1#2#3#4#5#6#7#8#9,6,5759,811.0,10.2,8.33,10.2,12.2,22.4,5.89,90.11
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100,97,97,0,9,9,1#2#3#4#5#6#7#8#9,8,7279,811.0,10.2,10.78,10.2,12.2,22.4,7.33,90.11
OPEN_ALL,DEFAULT,DEFAULT_OA,2D GRAPH,LOW,100,99,99,0,9,9,1#2#3#4#5#6#7#8#9,9,8115,817.4,10.2,11.0,10.2,12.2,22.4,8.56,90.82
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100,92,92,0,9,9,1#2#3#4#5#6#7#8#9,7,6678,810.8,10.2,10.22,10.2,12.2,22.4,6.89,90.09
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100,91,91,0,9,9,1#2#3#4#5#6#7#8#9,6,6227,807.6,10.2,10.11,10.2,12.2,22.4,6.33,89.73
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100,89,89,0,9,9,1#2#3#4#5#6#7#8#9,7,7066,810.8,9.07,9.89,9.07,10.84,19.91,7.33,90.09
OPEN_ALL,DEFAULT,DEFAULT_OA,BARABASI ALBERT,LOW,100,89,89,0,9,9,1#2#3#4#5#6#7#8#9,7,6440,807.6,10.2,9.89,10.2,12.2,22.4,6.67,89.73
